speaker,f1,f2,vowel
S1-1,-1.1135466211128613,1.8385399878833941,heed
S1-1,-0.5818699372426137,1.1458431352395233,hid
S1-1,-0.0501932533723661,1.1624845010688054,head
S1-1,0.6178107853364065,0.4552264533243127,had
S1-1,2.2264735724310016,-0.686787276710177,hard
S1-1,0.9449964369488666,-1.0175344225671603,hod
S1-1,-0.44554258240408867,-1.4002858366406505,hoard
S1-1,-0.3364806985332686,-0.6659855694235743,hood
S1-1,-0.8136264404681062,-0.701348471810799,whod
S1-1,1.3539785014644417,-0.2853143260787444,hud
S1-1,0.1270323079177164,-0.23539022859089787,heard
S1-1,-1.8224488662731915,1.6367634272033476,heed
S1-1,-0.39101164046867865,1.1229612572242602,hid
S1-1,-0.2955824920817111,1.1479233059681835,head
S1-1,-0.4864407888556462,0.7963744528245974,had
S1-1,2.117411688560182,-0.7304708620120428,hard
S1-1,0.8223018175941941,-1.01337408110984,hod
S1-1,-0.6227681436941712,-1.4231677146559136,hoard
S1-1,-0.7045645565972862,-0.6285424963076894,hood
S1-1,-0.5137062598233512,-0.4912512282161114,whod
S1-1,1.6402659466253442,-0.2832341553500841,hud
S1-1,1.1631202046905065,-0.35812030158185393,heard
S1-1,-1.7951833953054863,1.753252988008323,heed
S1-1,-0.8272591759519587,1.2082482570993314,hid
S1-1,-0.22741881466244862,1.1312819401389014,head
S1-1,0.22246145630468395,0.9357458916448357,had
S1-1,1.2994475595290316,-0.6909476181674976,hard
S1-1,0.713239933723374,-0.9800913494512755,hod
S1-1,-0.2955824920817111,-1.3982056659119904,hoard
S1-1,-1.5088959501445838,-0.6306226670363497,hood
S1-1,-0.9363210598227787,-0.48709088675879086,whod
S1-1,0.8086690821103415,-0.1937868140176924,hud
S1-1,0.5087489014655865,0.020470771034315695,heard
S1-1,-1.6452233049831089,1.7511728172796626,heed
S1-1,-0.5682372017587611,1.2456913302152164,hid
S1-1,0.18156324985312644,1.1021595499376575,head
S1-1,0.6996071982395216,0.6778047212909619,had
S1-1,0.19519598533697893,-0.8698423008322811,hard
S1-1,0.9040982304973091,-1.01337408110984,hod
S1-1,-0.8681573824035163,-1.54797795837553,hoard
S1-1,-1.0453829436935989,-0.6659855694235743,hood
S1-1,-0.21378607917859613,-0.3518797893958731,whod
S1-1,1.1903856756582116,-0.2853143260787444,hud
S1-1,0.37242154662706145,-0.09601878977065958,heard
S1-2,-0.9492086165410133,1.6900020806370135,heed
S1-2,-0.5917116484303828,0.8329705170326163,hid
S1-2,-0.26281443776860286,1.324096764107622,head
S1-2,1.7677683410997782,0.4638127088007411,had
S1-2,2.206297955315485,-0.20457433605961436,hard
S1-2,-0.03878300441927441,-0.9347587232671559,hod
S1-2,-0.4296463562202304,-1.2681391227717127,hoard
S1-2,-0.6203114058792333,-0.9087387896472882,hood
S1-2,-0.8205097080211864,-0.5525909482253469,whod
S1-2,0.638077921870186,-0.3379264958614371,hud
S1-2,-0.17701516542205153,-0.051707226042890735,heard
S1-2,-1.0064081314387143,1.7143957684056397,heed
S1-2,-0.5440453860156321,1.449317694653236,hid
S1-2,-0.029249751936324262,1.2964505846365124,head
S1-2,1.486537392852749,0.6410735065860909,had
S1-2,2.1252653092104086,-0.4224912801260076,hard
S1-2,0.2805809537595555,-0.8664563975150028,hod
S1-2,-0.8872424754018374,-1.448652412259546,hoard
S1-2,-0.5106790023253066,-0.7217205167544879,hood
S1-2,-0.8300429605041365,-0.5038035726880946,whod
S1-2,0.9240754963586904,-0.36394642948130496,hud
S1-2,-0.2675810640100779,-0.09724210987765948,heard
S1-2,-1.0111747576801893,1.699759555744464,heed
S1-2,-0.5106790023253066,1.324096764107622,hid
S1-2,-0.4296463562202304,1.1874921126033158,head
S1-2,0.6905108105264117,0.40852034985852187,had
S1-2,1.9679666432417313,-0.2582404491505918,hard
S1-2,-0.08644926683402514,-0.9363849691183977,hod
S1-2,-0.6107781533962832,-1.4470261664083044,hoard
S1-2,-0.5106790023253066,-0.8859713477299037,hood
S1-2,-1.0922074037852656,-1.0941308166888466,whod
S1-2,1.4055047467476727,-0.313532808092811,hud
S1-2,-0.5202122548082567,-0.16554443562981258,heard
S1-2,-1.05884102009494,1.668860884570871,heed
S1-2,-0.5106790023253066,1.3501166977274899,hid
S1-2,-0.5821783959474327,1.3013293221902376,head
S1-2,1.4531710091624235,0.5044688550817846,had
S1-2,1.886933997136655,-0.4224912801260076,hard
S1-2,-0.1293489030073008,-0.9363849691183977,hod
S1-2,-0.6346112846036586,-1.4096225118297443,hoard
S1-2,-0.8395762129870866,-0.9477686900770899,hood
S1-2,-1.1494069186829663,-0.7217205167544879,whod
S1-2,1.167173434673919,-0.4761573932169851,hud
S1-2,-0.3581469625981043,-0.1590394522248456,heard
S1-3,-1.3948460105938385,1.6235323711536076,heed
S1-3,-0.6400111045114706,1.3445778676158964,hid
S1-3,-0.21970530453378848,1.0236753184334162,head
S1-3,0.9897460790754602,0.7216493897910821,had
S1-3,0.3978868913517853,-0.580837427478984,hard
S1-3,0.569440279097778,-0.5787400251967456,hod
S1-3,-0.5885450881876728,-1.4680385928658406,hoard
S1-3,0.0890907934089984,-0.7507270123402969,hood
S1-3,-1.2490256310097447,-0.6311750822527064,whod
S1-3,1.1956101443706515,-0.2515452691675502,hud
S1-3,0.663794642358074,-0.2578374760142655,heard
S1-3,-1.6350207534382284,1.9087790815380343,heed
S1-3,-0.7086324596098678,1.2753635923020281,hid
S1-3,-0.04815191678779577,1.080305180053854,head
S1-3,1.2384984913071495,0.5161039661317157,had
S1-3,0.5351296015485795,-0.5116231521651158,hard
S1-3,0.3292655362533882,-0.8094542762429731,hod
S1-3,-0.3655256841178823,-1.4009217198342108,hoard
S1-3,-0.7686761453209652,-0.8199412876541652,hood
S1-3,-1.12893825958755,-0.5787400251967456,whod
S1-3,1.5044062423134383,-0.17394138472472825,hud
S1-3,0.6209062954215758,0.01063001611225374,heard
S1-3,-1.4977780432414343,1.7095258647253835,heed
S1-3,-0.6228557657368714,1.2879480059954587,hid
S1-3,0.0890907934089984,1.0446493412558004,head
S1-3,1.8989790341292216,0.5727338277521534,had
S1-3,0.7324159974564711,-0.5242075658585463,hard
S1-3,0.4236198995136842,-0.7087789666955283,hod
S1-3,-0.8630305085812612,-1.5938827298001466,hoard
S1-3,-0.7686761453209652,-0.8199412876541652,hood
S1-3,-0.914496524905059,-0.7507270123402969,whod
S1-3,1.5044062423134383,-0.19281800526487414,hud
S1-3,0.5265519321612798,-0.29349331481231883,heard
