group,age,speaker,vowel,f1,f2
1,65+,S1-1,heed,358,2210
1,65+,S1-1,hid,397,1877
1,65+,S1-1,head,436,1885
1,65+,S1-1,had,485,1545
1,65+,S1-1,hard,603,996
1,65+,S1-1,hod,509,837
1,65+,S1-1,hoard,407,653
1,65+,S1-1,hood,415,1006
1,65+,S1-1,who'd,380,989
1,65+,S1-1,hud,539,1189
1,65+,S1-1,heard,449,1213
1,65+,S1-1,heed,306,2113
1,65+,S1-1,hid,411,1866
1,65+,S1-1,head,418,1878
1,65+,S1-1,had,404,1709
1,65+,S1-1,hard,595,975
1,65+,S1-1,hod,500,839
1,65+,S1-1,hoard,394,642
1,65+,S1-1,hood,388,1024
1,65+,S1-1,who'd,402,1090
1,65+,S1-1,hud,560,1190
1,65+,S1-1,heard,525,1154
1,65+,S1-1,heed,308,2169
1,65+,S1-1,hid,379,1907
1,65+,S1-1,head,423,1870
1,65+,S1-1,had,456,1776
1,65+,S1-1,hard,535,994
1,65+,S1-1,hod,492,855
1,65+,S1-1,hoard,418,654
1,65+,S1-1,hood,329,1023
1,65+,S1-1,who'd,371,1092
1,65+,S1-1,hud,499,1233
1,65+,S1-1,heard,477,1336
1,65+,S1-1,heed,319,2168
1,65+,S1-1,hid,398,1925
1,65+,S1-1,head,453,1856
1,65+,S1-1,had,491,1652
1,65+,S1-1,hard,454,908
1,65+,S1-1,hod,506,839
1,65+,S1-1,hoard,376,582
1,65+,S1-1,hood,363,1006
1,65+,S1-1,who'd,424,1157
1,65+,S1-1,hud,527,1189
1,65+,S1-1,heard,467,1280
1,65+,S1-2,heed,277,2456
1,65+,S1-2,hid,352,1929
1,65+,S1-2,head,421,2231
1,65+,S1-2,had,847,1702
1,65+,S1-2,hard,939,1291
1,65+,S1-2,hod,468,842
1,65+,S1-2,hoard,386,637
1,65+,S1-2,hood,346,858
1,65+,S1-2,who'd,304,1077
1,65+,S1-2,hud,610,1209
1,65+,S1-2,heard,439,1385
1,65+,S1-2,heed,265,2471
1,65+,S1-2,hid,362,2308
1,65+,S1-2,head,470,2214
1,65+,S1-2,had,788,1811
1,65+,S1-2,hard,922,1157
1,65+,S1-2,hod,535,884
1,65+,S1-2,hoard,290,526
1,65+,S1-2,hood,369,973
1,65+,S1-2,who'd,302,1107
1,65+,S1-2,hud,670,1193
1,65+,S1-2,heard,420,1357
1,65+,S1-2,heed,264,2462
1,65+,S1-2,hid,369,2231
1,65+,S1-2,head,386,2147
1,65+,S1-2,had,621,1668
1,65+,S1-2,hard,889,1258
1,65+,S1-2,hod,458,841
1,65+,S1-2,hoard,348,527
1,65+,S1-2,hood,369,872
1,65+,S1-2,who'd,247,744
1,65+,S1-2,hud,771,1224
1,65+,S1-2,heard,367,1315
1,65+,S1-2,heed,254,2443
1,65+,S1-2,hid,369,2247
1,65+,S1-2,head,354,2217
1,65+,S1-2,had,781,1727
1,65+,S1-2,hard,872,1157
1,65+,S1-2,hod,449,841
1,65+,S1-2,hoard,343,550
1,65+,S1-2,hood,300,834
1,65+,S1-2,who'd,235,973
1,65+,S1-2,hud,721,1124
1,65+,S1-2,heard,401,1319
1,65+,S1-3,heed,313,2121
1,65+,S1-3,hid,401,1988
1,65+,S1-3,head,450,1835
1,65+,S1-3,had,591,1691
1,65+,S1-3,hard,522,1070
1,65+,S1-3,hod,542,1071
1,65+,S1-3,hoard,407,647
1,65+,S1-3,hood,486,989
1,65+,S1-3,who'd,330,1046
1,65+,S1-3,hud,615,1227
1,65+,S1-3,heard,553,1224
1,65+,S1-3,heed,285,2257
1,65+,S1-3,hid,393,1955
1,65+,S1-3,head,470,1862
1,65+,S1-3,had,620,1593
1,65+,S1-3,hard,538,1103
1,65+,S1-3,hod,514,961
1,65+,S1-3,hoard,433,679
1,65+,S1-3,hood,386,956
1,65+,S1-3,who'd,344,1071
1,65+,S1-3,hud,651,1264
1,65+,S1-3,heard,548,1352
1,65+,S1-3,heed,301,2162
1,65+,S1-3,hid,403,1961
1,65+,S1-3,head,486,1845
1,65+,S1-3,had,697,1620
1,65+,S1-3,hard,561,1097
1,65+,S1-3,hod,525,1009
1,65+,S1-3,hoard,375,587
1,65+,S1-3,hood,386,956
1,65+,S1-3,who'd,369,989
1,65+,S1-3,hud,651,1255
1,65+,S1-3,heard,537,1207
1,65+,S1-3,heed,309,2134
1,65+,S1-3,hid,405,1968
1,65+,S1-3,head,514,1928
1,65+,S1-3,had,726,1618
1,65+,S1-3,hard,546,1076
1,65+,S1-3,hod,493,948
1,65+,S1-3,hoard,391,530
1,65+,S1-3,hood,470,1057
1,65+,S1-3,who'd,235,837
1,65+,S1-3,hud,602,1261
1,65+,S1-3,heard,553,1258
1,65+,S1-4,heed,261,2322
1,65+,S1-4,hid,366,2026
1,65+,S1-4,head,453,1929
1,65+,S1-4,had,660,1771
1,65+,S1-4,hard,637,1057
1,65+,S1-4,hod,620,889
1,65+,S1-4,hoard,436,654
1,65+,S1-4,hood,362,1113
1,65+,S1-4,who'd,235,1057
1,65+,S1-4,hud,637,1308
1,65+,S1-4,heard,387,1478
1,65+,S1-4,heed,258,2252
1,65+,S1-4,hid,378,2037
1,65+,S1-4,head,439,1919
1,65+,S1-4,had,643,1789
1,65+,S1-4,hard,688,1107
1,65+,S1-4,hod,620,855
1,65+,S1-4,hoard,402,688
1,65+,S1-4,hood,369,1090
1,65+,S1-4,who'd,235,1124
1,65+,S1-4,hud,620,1174
1,65+,S1-4,heard,406,1447
1,65+,S1-4,heed,257,2345
1,65+,S1-4,hid,381,2066
1,65+,S1-4,head,500,1912
1,65+,S1-4,had,691,1770
1,65+,S1-4,hard,671,1140
1,65+,S1-4,hod,553,872
1,65+,S1-4,hoard,419,654
1,65+,S1-4,hood,369,1090
1,65+,S1-4,who'd,235,1040
1,65+,S1-4,hud,620,1124
1,65+,S1-4,heard,428,1491
1,65+,S1-4,heed,271,2328
1,65+,S1-4,hid,380,2037
1,65+,S1-4,head,493,1921
1,65+,S1-4,had,644,1818
1,65+,S1-4,hard,704,1124
